category;sku;model;qty;name;color_id;size_id;textile;season;price;status
6209_2;14806;КС-148;39;Костюм "Домашний";26;6,1,2;супрем+двунитка 95%хлопок+5%полиэстер;4;0;1
6209_2;1521213;КС-152;37;Костюм "Письмо";26,13;7,8,14;Супрем 100% хлопок;1;0;1
6209_2;1611225;КС-161;26;Костюм "Love";26,32;8,7,14;Флям 100% хлопок;1;0;1
6209_2;1951213;КС-195;68;Костюм "Следуй за мечтой";12,13;8,7,14;Супрем 100% хлопок;1;0;1
6209_1;1961213;КС-196;73;Костюм "Подводник";2,12;8,7,14;Супрем 100% хлопок;1;0;1
6209_1;1971213;КС-197;57;Костюм "Алфавит";18,12;8,7,14;Супрем 100% хлопок;1;0;1
6209_1;1981213;КС-198;11;Костюм "Турист";2,35;4,5,3;Супрем 100% хлопок;1;0;1
6209_1;2001213;КС-200;16;Костюм "Мишаня";1,35;4,5,3;Супрем 100% хлопок;1;0;1
6209_1;2041213;КС-204;25;Костюм "Слон отпечаток";8,37;15,16,17;Супрем 100% хлопок;1;0;1
6209_1;2051213;КС-205;208;Костюм "Утенок";2,12;15,16,17;Супрем 100% хлопок;1;0;1
6209_2;2131211;КС-213;26;Костюм "Oh";3,25;6,1,2;Двунитка 100% хлопок;4;0;1
6209_2;2231211;КС-223;9;Костюм "Нi";25;15,16,17;Двунитка 100% хлопок;4;0;1
6209_2;2381211;КС-238;9;Костюм "Девочка с зайкой";3,25;3,4,5;Двунитка 100% хлопок;4;0;1
6209_1;2411211;КС-241;16;Костюм "Монстрики";3,37;15,16,17;Двунитка 95%хлопок+5%полиэстер;2;0;1
6209_1;2431211;КС-243;146;Костюм "Граффити";3;6,1,2;Двунитка 100% хлопок;4;0;1
6209_2;2441212;КС-244;10;Костюм "Жаба с камушком";13,35;6,1,2;Супрем с лайкрой 95%хлопок+5%лайкра;1;0;1
6209_2;2461213;КС-246;123;Костюм "Бабочка";13,7;15,16,17;Супрем 100% хлопок;1;0;1
6209_2;2471213;КС-247;114;Костюм "Бриллиант";26;18,19,20;Супрем 100% хлопок;1;0;1
6209_2;2481213;КС-248;492;Костюм "Мальвина";13,35;6,1,2;супрем+супрем с лайкрой 100% хлопок, 95%хлопок+5%лайкра;1;0;1
6209_2;2491213;КС-249;95;Костюм "Котики-зайчики";13,35;4,5,3;Супрем 100% хлопок;1;0;1
6209_2;2511213;КС-251;201;Костюм "Marilyn Monroe";26,13;6,1,2;Супрем 100% хлопок;1;0;1
6209_2;2611211;КС-261;17;Костюм "Лиса принцесса";43;15,16,17;Двунитка+качкорса 95%хлопок+5%полиэстер+95%хлопок+5%лайкра;2;0;1
6209_2;2681227;КС-268;21;Костюм "Мяу";14,25,15;6,1,2;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6209_1;2821227;КС-282;15;Костюм "Пёс-космонавт";25;8,7,14;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6209_1;2831227;КС-283;64;Костюм "Мотоцикл";31,25;15,16,17;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6209_1;2911211;КС-291_1;32;Костюм "Медведь";25,79;3,4,5;Двунитка 100% бавовна;4;0;1
6209_1;2921211;КС-292;1;Костюм "Big bro";31,37,60;3,4,5;Двунитка 100% хлопок;4;0;1
6209_1;2931211;КС-293;43;Костюм  "Captain America";3,37,23;15,16,17;Двунитка 100% бавовна;4;0;1
6209_2;2941211;КС-294_1;41;Костюм "Be 1Girl";25,70;15,16,17;Двунитка 100% бавовна;4;0;1
6209_1;2951211;КС-295_1;29;Костюм "Енот";25,60;3,4,5;Двунитка 100% бавовна;4;0;1
6209_2;2961211;КС-296;97;Костюм "1 Girl";3,25,10,7;6,1,2;Двунитка 100% хлопок;4;0;1
6209_2;2971211;КС-297;32;Костюм "Пёс-баскетболист";2,25,5;6,1,2;Двунитка 100% хлопок;4;0;1
6209_2;2981211;КС-298;65;Костюм "Star,блискавка";3,14,25;15,16,17;Двунитка 100% хлопок;2;0;1
6209_2;3001211;КС-300;87;Костюм "Нью-Йорк";25,70;1,2,18;Двунитка 100% хлопок;2;0;1
6209_2;3011211;КС-301;45;Костюм " Девочка со скакалкой";25,70,78;4,5,15;Двунитка 100% хлопок;2;0;1
6209_2;3021211;КС-302;1;Костюм "Подружки;25,70,79;7,14,3;Двунитка 100% хлопок;2;0;1
6209_2;3041213;КС-304;60;Костюм " Цветущие кактусы";85,69;7,14,3;Супрем 100% бавовна;1;0;1
6209_1;3051213;КС-305;15;Костюм " Кот-индеец";101,77;7,14,3;Супрем 100% бавовна;1;0;1
6209_1;3101211;КС-310;0;Костюм " Baseball 65";3,111,25;16,17,6;Двунитка 100% бавовна;2;0;1
6209_1;3111211;КС-311;3;Костюм  "Rock Star";3,84,25;4,5,15;Двунитка 100% бавовна;2;0;1
6209_2;3121211;КС-312;25;Костюм  "Wonder girl";13,70,78;16,17,6;Двунитка 100% бавовна;2;0;1
6209_1;3141211;КС-314;21;Костюм  "SPORT";3,68;1,2,18;Двунитка 100% бавовна;2;0;1
6209_1;3161211;КС-316;23;Костюм "SPORT";3,84,103;16,17,6;Двунитка 100% бавовна;2;0;1
6209_2;3171211;КС-317;258;Костюм "LOVE;14,25,13;16,17,6;Двунитка 100% хлопок;2;0;1
6209_2;851211;КС-85;11;Костюм "Dogs";28,14,43,37;8,7,14,3;Двунитка 100% хлопок;4;0;1
6125_1;1450823;КФ-145;6;Кофта "Велик";43;6,1,2;Маккарна 95%хлопок+5%лайкра;4;0;1
6125_1;1760811;КФ-176;88;Кофта "Монстерленд";43;6,1,2;Двунитка 100% хлопок;4;0;1
6125_1;1780813;КФ-178;62;Кофта "Ралли";18,48;8,7,14;Супрем 100% хлопок;1;0;1
6125_2;1810813;КФ-181;14;Кофта "Love";32,12,5;8,7,14;Супрем 100% хлопок;1;0;1
6125_2;1940812;КФ-194;64;Кофта  "Горохи";26,32,14,12,13,20;15,16,17;Супрем с лайкрой 95%хлопок+5%лайкра;1;0;1
6125_1;2090809;КФ-209;14;Кофта "Налокотники";27;15,16,17;Трехнитка б/н 100% хлопок;3;0;1
6125_1;2100809;КФ-210;28;Кофта "Налокотники";27;6,1,2;Трехнитка б/н 100% хлопок;3;0;1
6125_2;2230812;КФ-223;20;Кофта "Воротничок";26;6,1,2;Супрем с лайкрой 95%хлопок+5%лайкра;1;0;1
6125_2;2250812;КФ-225;3;Кофта  "Воротничок";26;6,1,2;Супрем с лайкрой 95%хлопок+5%лайкра;1;0;1
6125_1;2590807;КФ-259;12;Кофта "Мишка";23;14,8,7;Интерлок 100% хлопок;2;0;1
6125_1;2670811;КФ-267;80;Кофта "Алфавит";3,39;4,5,3;Двунитка 100% хлопок;2;0;1
6125_2;2680813;КФ-268;57;Кофта "Жонглёр";13,48;4,5,3;Супрем 100% хлопок;1;0;1
6125_1;2740811;КФ-274;69;Кофта "Рука";43;15,16,17;Двунитка 100% хлопок;2;0;1
6125_1;2750811;КФ-275;23;Кофта "Динозавр";3,43;15,16,17;Двунитка 100% хлопок;2;0;1
6125_1;2770811;КФ-277;333;Кофта "Банан";3;6,1,2;Двунитка 100% хлопок;2;0;1
6125_1;2780811;КФ-278;25;Кофта "Динозавр";3,37;6,1,2;Двунитка 100% хлопок;2;0;1
6125_2;2790811;КФ-279;71;Кофта "Robinzone";3,28;6,1,2;Двунитка 100% хлопок;2;0;1
6125_2;2880812;КФ-288;14;Кофта c воротником;26,12,13;15,16,17,6;Супрем с лайкрой 95%хлопок+5%лайкра;1;0;1
6125_1;3240809;КФ-324;27;Кофта "Индеец";31;6,1,2;Трехнитка б/н 100% хлопок;3;0;1
6125_1;3290827;КФ-329;1;Кофта "Пингвины-десантники";19;8,7,14;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;3290827;КФ-329;3;Кофта "Пингвины-десантники";28;8,7,14;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_1;3300827;КФ-330;11;Кофта "Мальчик в монстре";2,43;4,5,3;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;3310827;КФ-331;6;Кофта "Олень";3,25;3,4,5;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_1;3320827;КФ-332;12;Кофта "Мальчик в монстре";2;4,5,3;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;3330827;КФ-333;103;Кофта "Лиса в лесу";36;4,5,3;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;3340827;КФ-334;17;Кофта "Девочка в шапочке";36,5;15,16,17;Трехнитка с/н 95%хлопок+5%лайкра;3;0;1
6125_1;3350827;КФ-335;193;Кофта "Монстрик";2,19;15,16,17;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_1;3410811;КФ-341;283;Кофта "Танцор";36,2;8,7,14;Двунитка 100% хлопок;2;0;1
6125_2;3420811;КФ-342;69;Кофта  "Поющие птички";2,5;4,5,3;Двунитка 100% хлопок;4;0;1
6125_1;3430811;КФ-343;33;Кофта "Крокодил в кактусах";3,31;4,5,3;Двунитка 100% хлопок;4;0;1
6125_1;3440811;КФ-344;137;Кофта "Бант";13,5;15,16,17;Двунитка 100% хлопок;4;0;1
6125_1;3450811;КФ-345;351;Кофта "Ворона в кроссовках";36,2;15,16,17;Двунитка 95%хлопок+5%полиэстер;2;0;1
6125_1;3470811;КФ-347;173;Кофта  "Якорь";3,31;6,1,2;Двунитка 100% хлопок;4;0;1
6125_2;3480811;КФ-348;0;Кофта "Кошка с короной";21,70;15,16,17;Двунитка 100% хлопок;4;0;1
6125_2;3500807;КФ-350;31;Кофта "Цветы";3,25;4,5,3;Интерлок 100% хлопок;4;0;1
6125_2;3650825;КФ-365;16;Кофта "Рукава в цветах";26,13;15,16,17;Флям 100% хлопок;2;0;1
6125_2;3660813;КФ-366;36;Кофта "Зайка-фея";26,7;4,5,3;Супрем 100% хлопок;2;0;1
6125_2;3670813;КФ-367;105;Кофта "Сова на веточки";26,7;8,7,14;Супрем 100% хлопок;2;0;1
6125_2;3710819;КФ-371;819;Кофта "Спорт для девочек";5,7,36,13,38;15,16,17;Рибана 95%хлопок+5%лайкра;2;0;1
6125_1;3720819;КФ-372;598;Кофта "Спорт";36,31;15,16,17;Рибана 95%хлопок+5%лайкра;2;0;1
6125_2;3730813;КФ-373;21;Кофта "Девочка с бантом";26,7;15,16,17;Супрем 100% хлопок;2;0;1
6125_1;3740813;КФ-374;15;Кофта "Большой медведь";31,35,6;4,5,3;Супрем 100% хлопок;2;0;1
6125_1;3750813;КФ-375;124;Кофта "Мишка в шарфике";31,35,6;8,7,14;Супрем 100% хлопок;2;0;1
6125_1;3760813;КФ-376;50;Кофта "New York";31,35,6;15,16,17;Супрем 100% хлопок;2;0;1
6125_1;3840810;КФ-384;23;Кофта "Мамин монстрик";3,21,17;15,16,17;Байка 95%хлопок+5%полиэстер;2;0;1
6125_1;3850811;КФ-385;46;Кофта "Мотоцикл";3,2,43,17;6,1,2;Двунитка 95%хлопок+5%полиэстер;2;0;1
6125_1;3860811;КФ-386;56;Кофта "DIRT RIDER";2,25;2,18,19,20;Двунитка+качкорса 95%хлопок+5%полиэстер+95%хлопок+5%лайкра;2;0;1
6125_2;3870811;КФ-387;29;Кофта "Меланж с распошивом";2,5,17;6,1,2;Двунитка 95%хлопок+5%полиэстер;2;0;1
6125_2;3880811;КФ-388;50;Кофта "Меланж с распошивом";2,5,17;18,19,20;Двунитка 95%хлопок+5%полиэстер;2;0;1
6125_1;3890811;КФ-389;12;Кофта "Меланж с распошивом";17;6,1,2;Двунитка 95%хлопок+5%полиэстер;2;0;1
6125_1;3900811;КФ-390;23;Кофта "Меланж с распошивом";17;18,19,20;Двунитка 95%хлопок+5%полиэстер;2;0;1
6125_1;3960811;КФ-396;1;Кофта "Меланж на кнопке";17;8,7,14;Двунитка 95%хлопок+5%полиэстер;2;0;1
6125_2;3960811;КФ-396;5;Кофта "Меланж на кнопке";2,5,23;8,7,14;Двунитка 95%хлопок+5%полиэстер;2;0;1
6125_1;3970811;КФ-397;6;Кофта "Меланж с длинным рукавом";17;15,16,17;Двунитка 95%хлопок+5%полиэстер;2;0;1
6125_1;3980809;КФ-398;59;Кофта "С капюшоном";31;6,1,2;Трехнитка б/н 100% хлопок;2;0;1
6125_1;3990809;КФ-399;2;Кофта "Карман с листочкой";31;18,19,20;Трехнитка б/н 100% хлопок;2;0;1
6125_1;4050810;КФ-405;49;Кофта "Джип";3,21,25,17;15,16,17;Двунитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;4070827;КФ-407;4;Кофта "Ёлка";21,14;8,7,14;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;4090827;КФ-409;4;Кофта "Ёлка";21,14;15,16,17;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_1;4100827;КФ-410;6;Кофта "Байк";25;3,4,5;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_1;4110827;КФ-411;7;Кофта "Медведь в кепке";61,17;15,16,17;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;4120827;КФ-412;41;Кофта "The Star";25,17;3,4,5;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;4130827;КФ-413;56;Кофта "Legendari Team";25,17;15,16,17;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_1;140827;;31;Кофта "Мото";26;3,4,5;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;4150827;КФ-415;6;Кофта "Зайка с бомбоном";36;3,4,5;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_2;4160827;КФ-416;7;Кофта "Зайка с бомбоном";36;15,16,17;Трехнитка с/н 95%хлопок+5%полиэстер;3;0;1
6125_1;4180811;КФ-418;5;Кофта " Карта леса";72,25,73;8,7,14;Двунитка 100% бавовна;4;0;1
6125_1;4240811;КФ-424;0;Кофта "Хаски";3,25,73,60;6,1,2;Двунитка 100% бавовна;4;0;1
6125_1;4250811;КФ-425;226;Кофта "BAD  BOY;3,73,68,74;15,16,17;Двунитка 100% бавовна;4;0;1
6125_2;4290811;КФ-429;24;Кофта "Принцесса";14,80,13,5,66;3,4,5;Двунитка 100% хлопок;4;0;1
6125_2;4320811;КФ-432;9;Кофта "Бант";72,13,78;15,16,17;Двунитка 100% бавовна;4;0;1
6125_2;4350811;КФ-435;0;Кофта "Lucky";70,81,74;16,17,6;Двунитка 100% бавовна;2;0;1
6125_1;4380811;КФ-438;41;Кофта "Motor Cycles";3,31,73;18,19,20;Двунитка 100% бавовна;4;0;1
6125_2;4400811;КФ-440;0;Кофта "Чародйка";13,79,105;4,5,15;Двунитка 100% бавовна;2;0;1
6125_2;4500811;КФ-450;60;Кофта "Осенний зайка";72,25,13;7,14,3;Двунитка 100% бавовна;2;0;1
6125_2;4690812;КФ-469;341;Кофта "Кружево на плечах";85,12,13;1,2,18;Супрем з лайкрою 95% бавовна +5%лайкра;2;0;1
6125_2;4700812;КФ-470;183;Кофта "Кружево на рукавах";85,12,13;1,2,18;Супрем з лайкрою 95% бавовна +5%лайкра;2;0;1
6125_2;4730812;КФ-473;137;Кофта "Кружево с бантиком";85,12,13;16,17,6;Супрем з лайкрою 95% бавовна +5%лайкра;2;0;1
6125_2;4740812;КФ-474;6;Кофта "Корсет";85,12,13;16,17,6;Супрем з лайкрою 95% бавовна +5%лайкра;2;0;1
4262_1;32429;КТ-3;20;Куртка "Ветровка с капюшёном";37;3,4,5;Плащёвка на флисе 100 % полиэстер;2;0;1
4262_2;32429;КТ-3;30;Куртка "Ветровка с капюшёном";37;3,4,5;Плащёвка на флисе 100 % полиэстер;2;0;1
4262_1;42429;КТ-4;19;Куртка "Ветровка с капюшёном";37;15,16,17;Плащёвка на флисе 100 % полиэстер;2;0;1
4262_2;42429;КТ-4;33;Куртка "Ветровка с капюшёном";37;15,16,17;Плащёвка на флисе 100 % полиэстер;2;0;1
6034_2;182211;ЛС-18;31;Лосины однотонные;28,14,10,43,20;15,16,17;Двунитка 100% хлопок;4;0;1
6034_2;232212;ЛС-23;161;Лосины "Robinzone";3,28,14,25;4,5,3;Супрем с лайкрой 95%хлопок+5%лайкра;1;0;1
6034_2;242212;ЛС-24;62;Лосины "Robinzone";3,28,14,25;15,16,17;Супрем с лайкрой 95%хлопок+5%лайкра;1;0;1
6034_2;252211;ЛС-25;39;Лосины "Единорог";36,39,5,20,38;4,5,3;Двунитка 100% хлопок;4;0;1
6034_2;262211;ЛС-26;29;Лосины "Единорог";36,39,5,20,37,38;15,16,17;Двунитка 100% хлопок;4;0;1
6034_2;412211;ЛС-41;29;Лосины "Конфетти";3,5,17,38;6,1,2;Двунитка 95%хлопок+5%полиэстер;2;0;1
6034_2;432211;ЛС-43;14;Лосины "Меланж";2,5,17,60;3,4,5,14;Двунитка 95%хлопок+5%полиэстер;2;0;1
6034_2;472213;ЛС-47;32;Лосины "Велосипедки";43;7;Супрем 100% хлопок;2;0;1
6034_2;482211;ЛС-48;30;Лосины с лампасами;2,25,4;6,1,2;Двунитка 95%хлопок+5%полиэстер;2;0;1
6034_2;56/2211;ЛС-56_1;135;Лосины "Роза";83,14,25;6,1,2;Двунитка 100% бавовна;4;0;1
6034_2;652211;ЛС-65;85;Лосни "Корони";14,25,106,74,107;7,14,3;Двунитка 100% бавовна;2;0;1
6034_2;662211;ЛС-66;108;Лосины "Конфетти";14,25,106,74,107;4,5,15;Двунитка 100% бавовна;2;0;1
6213_1;301113;МК-30;86;Майка "Правила движения";31,21;6,1,2;Супрем 100% хлопок;1;0;1
6213_1;341113;МК-34;73;Майка "Правила движения";31,21;18,19,20;Супрем 100% хлопок;1;0;1
6213_2;351112;МК-35;184;Майка "С кружевом";26,12,13;14,3,4,5,15;Супрем с лайкрой 95%хлопок+5%лайкра;2;0;1
6213_2;361112;МК-36;146;Майка "Крошетка";26,12,13;3,4,5,15;Супрем с лайкрой 95%хлопок+5%лайкра;2;0;1
6213_1;371112;МК-37;2;Майка "Бельевая";26,43;3,4,5,15;Супрем с лайкрой 95%хлопок+5%лайкра;2;0;1
6213_2;381112;МК-38;242;Майка "С кружевом";26,12,13;16,17,6,1;Супрем с лайкрой 95%хлопок+5%лайкра;2;0;1
6213_2;391112;МК-39;131;Майка "Крошетка";26,12,13;16,17,6,1;Супрем с лайкрой 95%хлопок+5%лайкра;2;0;1
6213_1;401112;МК-40;8;Майка "Бельевая";26,43;16,17,6,1;Супрем с лайкрой 95%хлопок+5%лайкра;2;0;1
6162_1;1210613;ПЖ-121;12;Пижама "Подлодка";18,12;4,14,3;Супрем 100% хлопок;1;0;1
6162_2;1220613;ПЖ-122;11;Пижама "Слон на веле";12,13;4,14,3;Супрем 100% хлопок;1;0;1
6162_1;1230613;ПЖ-123;22;Пижама "Кораблики";18,12;5,15,16;Супрем 100% хлопок;1;0;1
6162_2;1240613;ПЖ-124;38;Пижама "Слон на веле";12,13;5,15,16;Супрем 100% хлопок;1;0;1
6162_1;1320610;ПЖ-132;89;Пижама "La Luna";3,43,17;5,15,16;Байка 95%хлопок+5%полиэстер;2;0;1
6162_1;1330610;ПЖ-133;60;Пижама "La Luna";3,43,17;17,6,1;Байка 95%хлопок+5%полиэстер;2;0;1
6162_1;1370610;ПЖ-137;75;Пижама "Супермен";21,37;17,6,1;Байка 95%хлопок+5%полиэстер;2;0;1
6162_1;1400607;ПЖ-140;0;Пижамы  "Сова в кросах";;;Интерлок 100% хлопок;2;0;1
6162_2;1400607;ПЖ-140;3;Пижамы  "Сова в кросах";5;5,15,16;Интерлок 100% хлопок;2;0;1
6162_1;1410607;ПЖ-141;109;Пижамы "Силач в тату";3,25;5,15,16;Интерлок 100% хлопок;4;0;1
6162_1;1420607;ПЖ-142;8;Пижамы "Super priver";18,25,12;4,14,3;Интерлок 100% хлопок;4;0;1
6162_1;1440607;ПЖ-144;116;Пижама "Сова и приведение";3,43;5,15,16;Интерлок 100% хлопок;4;0;1
6162_2;1450607;ПЖ-145;98;Пижама " Пёрышко";2,5;5,15,16;Интерлок 100% хлопок;4;0;1
6162_1;1460607;ПЖ-146;227;Пижама "Грузовик";3,25;4,14,3;Интерлок 100% хлопок;4;0;1
6162_2;1520607;ПЖ-152;40;Пижама "Мой котёнок";2,28,30,5;5,15,16;Интерлок 100% хлопок;4;0;1
6162_2;1540607;ПЖ-154;108;Пижама "Балерина";77,76,70;3,4,5;нтерлок 100% бавовна;4;0;1
6162_2;1550607;ПЖ-155;63;Пижама "Балерина";77,76,70;15,16,17;нтерлок 100% бавовна;4;0;1
6162_2;1560611;ПЖ-156;72;Пижама "Девочка";72,75,25,70;15,16,17;нтерлок 100% бавовна;4;0;1
6162_2;1570611;ПЖ-157;47;Пижама "Девочка";72,75,25,70;6,1,2;нтерлок 100% бавовна;4;0;1
6162_2;1580607;ПЖ-158;103;Пижама "Зайчики";76,75,70;14,3,4;нтерлок 100% бавовна;4;0;1
6162_1;1600607;ПЖ-160;18;Пижама "Львенок";77,25;14,3,4;нтерлок 100% бавовна;4;0;1
6162_1;1610607;ПЖ-161;39;Пижама "Путешественник";72,77,25;14,3,4;нтерлок 100% бавовна;4;0;1
6162_1;1620607;ПЖ-162;158;Пижама "Ракета";72,77,25,86;14,3,4;нтерлок 100% бавовна;4;0;1
6162_1;1630607;ПЖ-163;56;Пижама "Динозавр";2,100;17,6,1;нтерлок 100% бавовна;4;0;1
6162_1;1640607;ПЖ-164;93;Пижама "Собачки";77,25;5,15,16;нтерлок 100% бавовна;4;0;1
6162_2;1650607;ПЖ-165;27;Пижама " Сладких снов";25,70;5,15,16;нтерлок 100% бавовна;4;0;1
6162_2;540607;ПЖ-54;19;Пижама "Замок принцессы";45,32,12,13;8,7,14,3;Интерлок 100% хлопок;0;0;1
6162_1;920607;ПЖ-92;19;Пижама "Птеродактель";43;8;Интерлок 100% хлопок;2;0;1
6055_2;091813;ПЛ-09;41;Платье "Цветочки";28,21,38;15,16,17;Супрем 100% хлопок;1;0;1
6055_2;171813;ПЛ-17;49;Платье "Птички";21,38;8,7,14;Супрем 100% хлопок;1;0;1
6055_2;191804;ПЛ-19;93;Платье "Донат";28,38;15,16,17;Супрем + батист 100% хлопок;1;0;1
6055_2;201804;ПЛ-20;286;Платье "Клубничка";21,38;6,1,2;Супрем + батист 100% хлопок;1;0;1
6055_2;211813;ПЛ-21;191;Платье "Перышко";12,13;4,5,3;Супрем 100% хлопок;1;0;1
6055_2;241811;ПЛ-24;53;Платье "Птички-цветочки";43;8,7,14;Двунитка 100% хлопок;4;0;1
6055_2;261811;ПЛ-26;12;Платье "Oh";21,43;6,1,2;Двунитка 100% хлопок;4;0;1
6055_2;291805;ПЛ-29;56;Платье "Велюр";28,39,21,14,12,5;3,4,5;Велюр 80% хлопок 20% полиэстер;2;0;1
6055_2;311813;ПЛ-31;231;Платье "Куколка";13,35;4,5,3;Супрем 100% хлопок;1;0;1
6055_2;321813;ПЛ-32;244;Платье "Зайчата-котята";13,35;8,7,14;Супрем 100% хлопок;1;0;1
6055_2;341813;ПЛ-34;202;Платье "Зайка с веночком";13,5;3,4,5;Супрем 100% хлопок;1;0;1
6055_2;351813;ПЛ-35;19;Платье "Цветы";31,5,7;15,16,17;Супрем 100% хлопок;1;0;1
6055_2;42/1811;ПЛ-42_1;107;Платье "Зая";72,14,70,74;4,5,3;Двунитка 100% бавовна;4;0;1
6055_2;43/1811;ПЛ-43_1;56;Платье с фатином "горохи";69,25,70;16,17,15;Двунитка 100% бавовна;4;0;1
6055_2;44/1811;ПЛ-44_1;50;Платье с фатином "сердце";25,70,74;6,1,2;Двунитка 100% бавовна;4;0;1
6055_2;45/1811;ПЛ-45_1;47;Платье "единорог";72,14,70,78;7,14,8;Двунитка 100% бавовна;4;0;1
6055_2;461811;ПЛ-46;2;Платье с фатином "принцесса";13,78;4,5,15;Двунитка 100% бавовна;2;0;1
6055_2;471811;ПЛ-47;104;Платье "Lucky";84,68,74;4,5,15;Двунитка 100% бавовна;2;0;1
6055_2;481811;ПЛ-48;66;Платье "Star";3,83,25,73;6,1,2;Двунитка 100% бавовна;2;0;1
6055_2;501811;ПЛ-50;95;Платье "Wonder Girl";13,70;16,17,6;Двунитка 100% бавовна;2;0;1
6055_2;521836;ПЛ-52;115;Платье "Поло";77,87,103;3,4,5;Лакоста 100% бавовна;1;0;1
6055_2;541811;ПЛ-54;92;Платье "36";72,25,13,106,103;16,17,6;Двунитка 100% бавовна;2;0;1
6055_2;491611;ТН-49;102;Туника "Star";3,83,25,73;18,19,20;Двунитка 100% бавовна;2;0;1
6436_2;391813;СФ-39;220;Сарафан "Цветы";12,13;8,7,14;Супрем 100% хлопок;1;0;1
6436_2;411813;СФ-41;69;Сарафан "Панк-котэ";28,13;15,16,17;Супрем 100% хлопок;1;0;1
